#name,B,W,H,age,height,weight,Cute,Cool,Passion,Pictures
高森藍子,74,60,79,16,155,42,0,0,1,Aiko.gif
工藤忍,78,54,81,16,154,41,1,0,0,Shinobu.gif
如月千早,72,55,78,16,162,41,0,1,0,Chihaya.gif
向井拓海,95,60,87,18,163,53,0,0,1,Takumi.gif
三村かな子,90,65,89,17,153,52,1,0,0,Kanako.gif
十時愛梨,86,58,88,18,161,46,0,0,1,Totokin.gif
水本ゆかり,81,56,82,15,155,42,1,0,0,Yukari.gif
鷺沢文香,84,54,81,19,162,45,0,1,0,Fumika.gif
川島瑞樹,87,57,85,28,159,44,0,1,0,Wakaruwa.gif
星輝子,73,53,75,15,142,35,0,0,1,Shoko.gif
秋月律子,85,57,85,19,156,43,0,1,0,Ritsuko.gif
佐久間まゆ,78,54,80,16,153,40,1,0,0,Mayu.gif
一ノ瀬志希,83,57,82,18,161,43,1,0,0,Shiki.gif
上条春奈,79,56,80,18,156,42,0,1,0,Haruna.gif
松山久美子,81,56,81,21,161,44,0,0,1,Kumiko.gif
島村卯月,83,59,87,17,159,45,1,0,0,Shimamuu.gif
渋谷凛,80,56,81,15,165,44,0,1,0,Shiburin.gif
本田未央,84,58,87,15,161,46,0,0,1,Chanmio.gif
